id,transactionID,transactionDate,transactionType,value
100695075,177091226,2016-05-29T00:00:00.000+0000,earn_package,370
100695075,177091231,2016-05-29T00:00:00.000+0000,earn_package,370
100695075,177091235,2016-05-29T00:00:00.000+0000,earn_package,370
100695075,177091240,2016-05-29T00:00:00.000+0000,earn_package,370
100695075,177091243,2016-05-29T00:00:00.000+0000,earn_package,112
100695075,177091250,2016-05-29T00:00:00.000+0000,earn_package,112
100695075,216844546,2016-10-21T00:00:00.000+0000,earn_credit_card,19085
100695075,240067758,2017-01-17T00:00:00.000+0000,earn_lodging,44
100695075,240067766,2017-01-17T00:00:00.000+0000,earn_lodging,146
100695075,240067772,2017-01-17T00:00:00.000+0000,earn_lodging,250
100695075,262317393,2017-04-07T00:00:00.000+0000,earn_credit_card,19746
100695075,266534708,2017-04-21T00:00:00.000+0000,earn_credit_card,90
100695075,275553485,2017-05-19T00:00:00.000+0000,earn_credit_card,499
100695075,278304950,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278304952,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278304954,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278304957,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278304961,2017-05-29T00:00:00.000+0000,earn_package,651
100695075,278304964,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278304967,2017-05-29T00:00:00.000+0000,earn_package,169
100695075,278304968,2017-05-29T00:00:00.000+0000,earn_package,561
100695075,278304971,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278304974,2017-05-29T00:00:00.000+0000,earn_package,250
100695075,278304979,2017-05-29T00:00:00.000+0000,earn_package,75
100695075,278304984,2017-05-29T00:00:00.000+0000,earn_package,561
100695075,278304986,2017-05-29T00:00:00.000+0000,earn_package,195
100695075,278304990,2017-05-29T00:00:00.000+0000,earn_package,254
100695075,278304993,2017-05-29T00:00:00.000+0000,earn_package,169
100695075,278304997,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278305001,2017-05-29T00:00:00.000+0000,earn_package,651
100695075,278305002,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278305003,2017-05-29T00:00:00.000+0000,earn_package,195
100695075,278649734,2017-05-29T00:00:00.000+0000,earn_package,92
100695075,278649737,2017-05-29T00:00:00.000+0000,earn_package,92
100695075,278649741,2017-05-29T00:00:00.000+0000,earn_package,92
100695075,278649744,2017-05-29T00:00:00.000+0000,earn_package,280
100695075,278649747,2017-05-29T00:00:00.000+0000,earn_package,305
100695075,278649750,2017-05-29T00:00:00.000+0000,earn_package,92
100695075,278649752,2017-05-29T00:00:00.000+0000,earn_package,92
100695075,278649754,2017-05-29T00:00:00.000+0000,earn_package,305
100695075,278649755,2017-05-29T00:00:00.000+0000,earn_package,92
100695075,278649756,2017-05-29T00:00:00.000+0000,earn_package,308
100695075,278649758,2017-05-29T00:00:00.000+0000,earn_package,250
100695075,278649760,2017-05-29T00:00:00.000+0000,earn_package,98
100695075,278649762,2017-05-29T00:00:00.000+0000,earn_package,305
100695075,278649763,2017-05-29T00:00:00.000+0000,earn_package,305
100695075,278649764,2017-05-29T00:00:00.000+0000,earn_package,325
100695075,278649766,2017-05-29T00:00:00.000+0000,earn_package,305
100695075,278649768,2017-05-29T00:00:00.000+0000,earn_package,84
100695075,278678543,2017-05-29T00:00:00.000+0000,earn_package,220
100695075,278678546,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278678550,2017-05-29T00:00:00.000+0000,earn_package,430
100695075,278678553,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278678554,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278678555,2017-05-29T00:00:00.000+0000,earn_package,561
100695075,278678557,2017-05-29T00:00:00.000+0000,earn_package,220
100695075,278678560,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278678562,2017-05-29T00:00:00.000+0000,earn_package,734
100695075,278678564,2017-05-29T00:00:00.000+0000,earn_package,169
100695075,278678566,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278678568,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278678570,2017-05-29T00:00:00.000+0000,earn_package,250
100695075,278678573,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278678578,2017-05-29T00:00:00.000+0000,earn_package,561
100695075,278678582,2017-05-29T00:00:00.000+0000,earn_package,734
100695075,278678584,2017-05-29T00:00:00.000+0000,earn_package,169
100695075,278678586,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,278678587,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278678588,2017-05-29T00:00:00.000+0000,earn_package,128
100695075,278678589,2017-05-29T00:00:00.000+0000,earn_package,424
100695075,321950754,2017-09-21T00:00:00.000+0000,earn_credit_card,2284
100695075,385333214,2018-03-21T00:00:00.000+0000,earn_credit_card,356
